Timestamp,Metric,Entity,Value,Algorithm
1765478094.631058,DROP,Switch1,1,ECMP
1765478094.6313915,BUFFER,Switch2,0,ECMP
1765478094.6317854,DROP,Switch1,1,ECMP
1765478094.6318626,DROP,Switch1,1,ECMP
1765478094.6319268,DROP,Switch1,1,ECMP
1765478094.6325917,DROP,Switch1,1,ECMP
1765478094.6333022,DROP,Switch1,1,ECMP
1765478094.6340368,DROP,Switch1,1,ECMP
1765478094.6340702,DROP,Switch1,1,ECMP
1765478094.634155,DROP,Switch1,1,ECMP
1765478094.6348398,DROP,Switch1,1,ECMP
1765478094.6355472,DROP,Switch1,1,ECMP
1765478094.6362627,DROP,Switch1,1,ECMP
1765478094.636951,BUFFER,Switch1,29,ECMP
1765478094.6370175,DROP,Switch1,1,ECMP
1765478094.637093,DROP,Switch1,1,ECMP
1765478094.6371722,DROP,Switch1,1,ECMP
1765478094.6378872,DROP,Switch1,1,ECMP
1765478094.637967,DROP,Switch1,1,ECMP
1765478094.6386743,DROP,Switch1,1,ECMP
1765478094.6387076,DROP,Switch1,1,ECMP
1765478094.6394312,DROP,Switch1,1,ECMP
1765478094.6401546,DROP,Switch1,1,ECMP
1765478094.6402798,DROP,Switch1,1,ECMP
1765478094.6409953,DROP,Switch1,1,ECMP
1765478094.6410635,DROP,Switch1,1,ECMP
1765478094.6417654,DROP,Switch1,1,ECMP
1765478094.64243,BUFFER,Switch1,29,ECMP
1765478094.6425004,DROP,Switch1,1,ECMP
1765478094.6425657,DROP,Switch1,1,ECMP
1765478094.6432698,DROP,Switch1,1,ECMP
1765478094.6460366,DROP,Switch1,1,ECMP
1765478094.6461852,BUFFER,Switch2,0,ECMP
1765478094.649393,DROP,Switch1,1,ECMP
1765478094.652644,BUFFER,Switch1,29,ECMP
1765478094.6533685,DROP,Switch1,1,ECMP
1765478094.6574385,DROP,Switch1,1,ECMP
1765478094.6596124,BUFFER,Switch2,0,ECMP
1765478094.6613786,DROP,Switch1,1,ECMP
1765478094.664046,BUFFER,Switch1,29,ECMP
1765478094.6660004,DROP,Switch1,1,ECMP
1765478094.6717641,DROP,Switch1,1,ECMP
1765478094.672836,BUFFER,Switch2,0,ECMP
1765478094.6757789,BUFFER,Switch1,29,ECMP
1765478094.6758528,DROP,Switch1,1,ECMP
1765478094.679785,DROP,Switch1,1,ECMP
1765478094.6837578,DROP,Switch1,1,ECMP
1765478094.6861484,BUFFER,Switch2,0,ECMP
1765478094.6870341,BUFFER,Switch1,29,ECMP
1765478094.6877205,DROP,Switch1,1,ECMP
1765478094.6916494,DROP,Switch1,1,ECMP
1765478094.6956782,DROP,Switch1,1,ECMP
1765478094.698255,BUFFER,Switch1,29,ECMP
1765478094.699387,BUFFER,Switch2,0,ECMP
1765478094.700277,DROP,Switch1,1,ECMP
1765478094.7120142,BUFFER,Switch2,1,ECMP
1765478094.7318573,BUFFER,Switch2,0,ECMP
1765478094.7638745,BUFFER,Switch1,1,ECMP
1765478094.8001873,BUFFER,Switch2,0,ECMP
1765478094.8034387,BUFFER,Switch1,2,ECMP
1765478094.8143306,BUFFER,Switch2,0,ECMP
1765478094.8147485,BUFFER,Switch1,6,ECMP
1765478094.8261964,BUFFER,Switch1,9,ECMP
1765478094.8277218,BUFFER,Switch2,0,ECMP
1765478094.8377216,BUFFER,Switch1,12,ECMP
1765478094.8416045,BUFFER,Switch2,0,ECMP
1765478094.849317,BUFFER,Switch1,15,ECMP
1765478094.8552194,BUFFER,Switch2,0,ECMP
1765478094.8612182,BUFFER,Switch1,17,ECMP
1765478094.8686829,BUFFER,Switch2,0,ECMP
1765478094.8721879,BUFFER,Switch1,21,ECMP
1765478094.8824043,BUFFER,Switch2,0,ECMP
1765478094.883611,BUFFER,Switch1,24,ECMP
1765478094.8953052,BUFFER,Switch2,1,ECMP
1765478094.8955536,BUFFER,Switch1,26,ECMP
1765478094.905755,DROP,Switch1,1,ECMP
1765478094.9064918,BUFFER,Switch1,29,ECMP
1765478094.908001,DROP,Switch1,1,ECMP
1765478094.909139,BUFFER,Switch2,0,ECMP
1765478094.9120686,DROP,Switch1,1,ECMP
1765478094.914221,DROP,Switch1,1,ECMP
1765478094.917684,BUFFER,Switch1,30,ECMP
1765478094.9176917,DROP,Switch1,1,ECMP
1765478094.920998,DROP,Switch1,1,ECMP
1765478094.92268,BUFFER,Switch2,0,ECMP
1765478094.9244487,DROP,Switch1,1,ECMP
1765478094.928394,DROP,Switch1,1,ECMP
1765478094.9290366,BUFFER,Switch1,29,ECMP
1765478094.9323843,DROP,Switch1,1,ECMP
1765478094.9361727,BUFFER,Switch2,0,ECMP
1765478094.9369807,DROP,Switch1,1,ECMP
1765478094.93973,DROP,Switch1,1,ECMP
1765478094.9403832,BUFFER,Switch1,29,ECMP
1765478094.9431818,DROP,Switch1,1,ECMP
1765478094.94661,DROP,Switch1,1,ECMP
1765478094.9495134,BUFFER,Switch2,0,ECMP
1765478094.9512422,DROP,Switch1,1,ECMP
1765478094.9518964,BUFFER,Switch1,29,ECMP
1765478094.9552674,DROP,Switch1,1,ECMP
1765478094.9587147,DROP,Switch1,1,ECMP
1765478094.9614558,DROP,Switch1,1,ECMP
1765478094.9631526,BUFFER,Switch2,0,ECMP
1765478094.963466,BUFFER,Switch1,29,ECMP
1765478094.9656105,DROP,Switch1,1,ECMP
1765478094.9689953,DROP,Switch1,1,ECMP
1765478094.9723327,DROP,Switch1,1,ECMP
1765478094.9750624,BUFFER,Switch1,29,ECMP
1765478094.9757972,DROP,Switch1,1,ECMP
1765478094.9768353,BUFFER,Switch2,0,ECMP
1765478094.989786,BUFFER,Switch2,0,ECMP
1765478094.9925952,BUFFER,Switch1,21,ECMP
1765478095.0030015,BUFFER,Switch2,0,ECMP
1765478095.003913,BUFFER,Switch1,24,ECMP
1765478095.015154,BUFFER,Switch1,27,ECMP
1765478095.0162306,BUFFER,Switch2,0,ECMP
1765478095.0268643,BUFFER,Switch1,29,ECMP
1765478095.0292408,BUFFER,Switch2,0,ECMP
1765478095.029554,DROP,Switch1,1,ECMP
1765478095.0414515,BUFFER,Switch2,1,ECMP
1765478095.2546954,BUFFER,Switch2,0,ECMP
1765478095.2563398,BUFFER,Switch1,3,ECMP
1765478095.26792,BUFFER,Switch1,12,ECMP
1765478095.276113,BUFFER,Switch2,0,ECMP
1765478095.2802656,BUFFER,Switch1,20,ECMP
1765478095.2908173,BUFFER,Switch2,2,ECMP
1765478095.5194542,BUFFER,Switch1,7,ECMP
1765478095.523026,BUFFER,Switch2,0,ECMP
1765478095.531802,BUFFER,Switch1,17,ECMP
1765478095.543572,BUFFER,Switch1,25,ECMP
1765478095.5442595,BUFFER,Switch2,0,ECMP
1765478095.5584996,BUFFER,Switch2,1,ECMP
1765478095.5715241,BUFFER,Switch2,4,ECMP
1765478095.674136,BUFFER,Switch1,1,ECMP
1765478095.89199,BUFFER,Switch2,0,ECMP
1765478095.8935862,BUFFER,Switch1,3,ECMP
1765478096.0320315,BUFFER,Switch2,0,ECMP
1765478096.032189,BUFFER,Switch1,4,ECMP
1765478096.0444381,BUFFER,Switch1,12,ECMP
